data,nome,codigo,temperatura
2011-05-31,ARAXA,A505,19.921291
2011-06-30,ARAXA,A505,18.636827
2011-07-31,ARAXA,A505,19.846183
2011-08-31,ARAXA,A505,22.228017
2011-09-30,ARAXA,A505,22.816411
2011-10-31,ARAXA,A505,21.164002
2011-11-30,ARAXA,A505,21.073873
2011-12-31,ARAXA,A505,21.367882
2012-01-31,ARAXA,A505,20.696096
2012-02-29,ARAXA,A505,23.000219
2012-03-31,ARAXA,A505,22.203863
2012-04-30,ARAXA,A505,21.605557
2012-05-31,ARAXA,A505,18.470044
2012-06-30,ARAXA,A505,19.485483
2012-07-31,ARAXA,A505,19.239306
2012-08-31,ARAXA,A505,19.179167
2012-09-30,ARAXA,A505,22.633333
2012-10-31,ARAXA,A505,24.115591
2012-11-30,ARAXA,A505,22.48125
2012-12-31,ARAXA,A505,23.625134
2013-01-31,ARAXA,A505,22.15242
2013-02-28,ARAXA,A505,
2013-03-31,ARAXA,A505,
2013-04-30,ARAXA,A505,20.361667
2013-05-31,ARAXA,A505,19.983871
2013-06-30,ARAXA,A505,19.747374
2013-07-31,ARAXA,A505,19.00375
2013-08-31,ARAXA,A505,20.285556
2013-09-30,ARAXA,A505,21.560139
2013-10-31,ARAXA,A505,21.406452
2013-11-30,ARAXA,A505,22.018472
2013-12-31,ARAXA,A505,22.384812
2014-01-31,ARAXA,A505,23.550941
2014-02-28,ARAXA,A505,23.945684
2014-03-31,ARAXA,A505,22.339516
2014-04-30,ARAXA,A505,21.436528
2014-05-31,ARAXA,A505,19.728629
2014-06-30,ARAXA,A505,19.498195
2014-07-31,ARAXA,A505,18.402186
2014-08-31,ARAXA,A505,21.072083
2014-09-30,ARAXA,A505,23.075417
2014-10-31,ARAXA,A505,23.463441
2014-11-30,ARAXA,A505,22.274167
2014-12-31,ARAXA,A505,22.138038
2015-01-31,ARAXA,A505,24.725403
2015-02-28,ARAXA,A505,22.10253
2015-03-31,ARAXA,A505,21.344893
2015-04-30,ARAXA,A505,21.522917
2015-05-31,ARAXA,A505,19.327419
2015-06-30,ARAXA,A505,18.880833
2015-07-31,ARAXA,A505,19.845564
2015-08-31,ARAXA,A505,20.972715
2015-09-30,ARAXA,A505,23.806111
2015-10-31,ARAXA,A505,25.939516
2015-11-30,ARAXA,A505,23.575
2015-12-31,ARAXA,A505,22.692608
2016-01-31,ARAXA,A505,22.358065
2016-02-29,ARAXA,A505,23.577299
2016-03-31,ARAXA,A505,23.002554
2016-04-30,ARAXA,A505,23.342639
2016-05-31,ARAXA,A505,20.925403
2016-06-30,ARAXA,A505,18.790817
2016-07-31,ARAXA,A505,20.311528
2016-08-31,ARAXA,A505,21.206452
2016-09-30,ARAXA,A505,23.565918
2016-10-31,ARAXA,A505,23.06828
2016-11-30,ARAXA,A505,21.616528
2016-12-31,ARAXA,A505,22.378495
2017-01-31,ARAXA,A505,22.754032
2017-02-28,ARAXA,A505,22.744345
2017-03-31,ARAXA,A505,23.081855
2017-04-30,ARAXA,A505,22.33125
2017-05-31,ARAXA,A505,20.437903
2017-06-30,ARAXA,A505,19.208611
2017-07-31,ARAXA,A505,17.21437
2017-08-31,ARAXA,A505,21.308871
2017-09-30,ARAXA,A505,22.096806
2017-10-31,ARAXA,A505,24.077554
2017-11-30,ARAXA,A505,21.904167
2017-12-31,ARAXA,A505,22.590774
2018-01-31,ARAXA,A505,23.078629
2018-02-28,ARAXA,A505,22.462054
2018-03-31,ARAXA,A505,23.723521
2018-04-30,ARAXA,A505,21.343056
2018-05-31,ARAXA,A505,19.902832
2018-06-30,ARAXA,A505,20.359445
2018-07-31,ARAXA,A505,19.960618
2018-08-31,ARAXA,A505,20.603169
2018-09-30,ARAXA,A505,22.629598
2018-10-31,ARAXA,A505,22.902688
2018-11-30,ARAXA,A505,21.375139
2018-12-31,ARAXA,A505,22.904032
2019-01-31,ARAXA,A505,24.158065
2019-02-28,ARAXA,A505,23.140179
2019-03-31,ARAXA,A505,22.527823
2019-04-30,ARAXA,A505,22.541969
2019-05-31,ARAXA,A505,21.248521
2019-06-30,ARAXA,A505,19.464861
2019-07-31,ARAXA,A505,18.969234
2019-08-31,ARAXA,A505,20.807661
2019-09-30,ARAXA,A505,25.2316
2019-10-31,ARAXA,A505,24.026894
2019-11-30,ARAXA,A505,23.053195
2019-12-31,ARAXA,A505,22.566801
2020-01-31,ARAXA,A505,23.109005
2020-02-29,ARAXA,A505,21.848707
2020-03-31,ARAXA,A505,22.194892
2020-04-30,ARAXA,A505,21.834722
2020-05-31,ARAXA,A505,18.899533
2020-06-30,ARAXA,A505,19.679583
2020-07-31,ARAXA,A505,19.978091
2020-08-31,ARAXA,A505,20.03783
2020-09-30,ARAXA,A505,24.340833
